Gen,Time
0,25.0
1,9.0
2,8.0
3,11.0
4,9.0
5,11.0
6,9.0
7,8.0
8,14.0
9,16.0
10,13.0
11,14.0
12,10.0
13,13.0
14,12.0
15,10.0
16,10.0
17,13.0
18,14.0
19,10.0
20,16.0
21,13.0
22,18.0
23,14.0
24,13.0
25,15.0
26,14.0
27,13.0
28,15.0
29,13.0
30,15.0
31,14.0
32,17.0
33,11.0
34,12.0
35,17.0
36,16.0
37,12.0
38,11.0
39,16.0
40,17.0
41,12.0
42,17.0
43,16.0
44,12.0
45,17.0
46,13.0
47,16.0
48,14.0
49,12.0
50,14.0
